"Country Name",Y1960,Y1965,Y1970,Y1975,Y1980,Y1985,Y1990,Y1995,Y2000,Y2005,Y2010,Y2015,Y2020
Aruba,54208,57357,59070,60653,60097,63024,62152,80324,90866,100028,101665,104339,106766
"Africa Eastern and Southern",130836765,148769974,170257189,196409937,227305945,263161451,304648010,349605660,398113044,453404076,518468229,593871847,677243299
Afghanistan,8996967,9956318,11173654,12689164,13356500,11938204,12412311,18110662,20779957,25654274,29185511,34413603,38928341
"Africa Western and Central",96396419,107289875,120269044,136173544,155882270,178826553,204803865,233807627,267214544,305520588,350556886,401586651,458803476
Angola,5454938,5770573,5890360,7023994,8341290,9961993,11848385,13945205,16395477,19433604,23356247,27884380,32866268
Albania,1608800,1864791,2135479,2404831,2671997,2964762,3286542,3187784,3089027,3011487,2913021,2880703,2837849
Andorra,13410,18542,24275,30705,36063,44593,54508,63860,65390,78871,84454,77993,77265
"Arab World",92197715,105736428,121785630,140040580,164420771,191650328,222653371,253107302,282344141,314965776,354890097,396028301,436080728
"United Arab Emirates",92417,149855,234512,548295,1019507,1366165,1828437,2415099,3134067,4588222,8549998,9262896,9890400
Argentina,20481781,22159644,23880564,25865775,27896532,30216284,32618648,34828168,36870796,38892924,40788453,43131966,45376763
Armenia,1874119,2211316,2525067,2832752,3099759,3335935,3538164,3217349,3069597,2981262,2877314,2925559,2963234
"American Samoa",20127,23675,27362,30045,32648,39521,47351,53158,57816,59557,56084,55806,55197
"Antigua and Barbuda",54132,58699,64184,62671,61861,61785,62533,68672,76007,81462,88030,93571,97928
Australia,10276477,11388000,12507000,13893000,14692000,15758000,17065100,18072000,19153000,20394800,22031750,23815995,25693267
Austria,7047539,7270889,7467086,7578903,7549433,7564985,7677850,7948278,8011566,8227829,8363404,8642699,8916864
Azerbaijan,3895398,4592601,5180032,5674129,6150735,6666447,7175200,7684850,8048600,8391850,9054332,9649341,10093121
Burundi,2797925,3094378,3479070,3700879,4157296,4750832,5438959,5987044,6378871,7364857,8675606,10160034,11890781
Belgium,9153489,9463667,9655549,9800700,9859242,9858308,9967379,10136811,10251250,10478617,10895586,11274196,11544241
Benin,2431617,2632361,2912338,3265167,3717161,4278502,4978489,5905552,6865946,7982223,9199254,10575962,12123198
"Burkina Faso",4829289,5174874,5624592,6154554,6822837,7727908,8811033,10089880,11607951,13421935,15605211,18110616,20903278
Bangladesh,48013505,55385114,64232486,70066310,79639498,90764180,103171957,115169933,127657862,139035505,147575433,156256287,164689383
Bulgaria,7867374,8204168,8489574,8720742,8861535,8960547,8718289,8406067,8170172,7658972,7395599,7177991,6934015
Bahrain,162429,187432,212607,266540,359897,419428,495927,563698,664610,889157,1240864,1371853,1701583
"Bahamas, The",109532,140060,169376,188895,210589,234579,256227,280179,298045,324848,354936,374200,393248
"Bosnia and Herzegovina",3225664,3535632,3760536,3985107,4179850,4392135,4463422,3829049,3751176,3765332,3705478,3429362,3280815
Belarus,8198000,8610000,9040000,9367000,9643000,9975000,10189348,10193831,9979610,9663915,9483836,9461076,9379952
Belize,92068,106120,122184,133264,144142,164918,187554,206962,247310,283798,322465,360926,397621
Bermuda,44400,50100,55000,53000,54670,56898,59326,59746,61833,64154,65124,65237,63903
Bolivia,3656961,4038865,4484004,5001413,5579932,6179460,6864839,7622334,8418270,9232301,10048597,10869732,11673029
Brazil,72179235,83373533,95113265,107216209,120694012,135274083,149003225,162019889,174790339,186127108,195713637,204471759,212559409
Barbados,230985,235415,238895,246158,252388,256260,260933,265955,271511,276320,282131,285327,287371
"Brunei Darussalam",81707,102390,129530,161635,193880,224440,258714,297112,333166,365112,388634,414914,437483
Bhutan,223284,253993,297307,348395,406883,464264,530801,534629,591014,648744,685502,727885,771612
Botswana,502733,559996,627714,741346,897860,1069585,1286756,1469173,1643333,1799077,1987106,2120716,2351625
"Central African Republic",1501668,1639706,1811157,1958367,2199359,2542170,2806740,3222662,3640421,4038380,4386765,4493171,4829764
Canada,17909009,19678000,21324000,23143275,24515667,25842116,27691138,29302311,30685730,32243753,34004889,35702908,38037204
"Central Europe and the Baltics",91401764,95440988,99134548,102860571,106541316,109338285,110743128,109864246,108447824,106041911,104421447,103257886,102172351
Switzerland,5327827,5856472,6180877,6338632,6319408,6470365,6715519,7040687,7184250,7437115,7824909,8282396,8636561
"Channel Islands",109419,114989,121200,126420,128204,133800,140677,143480,148439,151674,159718,165387,173859
Chile,8132988,8989607,9783134,10592310,11419350,12257238,13274617,14380864,15342350,16182713,17062531,17969356,19116209
China,667070000,715185000,818315000,916395000,981235000,1051040000,1135185000,1204855000,1262645000,1303720000,1337705000,1379860000,1410929362
"Cote d'Ivoire",3503559,4226843,5102070,6412409,8033652,9918204,11924873,14199759,16454660,18354513,20532944,23226148,26378275
Cameroon,5176920,5773538,6519754,7451057,8621409,10070806,11780086,13599984,15513944,17733408,20341236,23298376,26545864
"Congo, Dem. Rep.",15248256,17369882,20011033,22903587,26358905,29881222,34612023,41576239,47105830,54785894,64563853,76244532,89561404
"Congo, Rep.",1018254,1155389,1326894,1536658,1777932,2054308,2356740,2707532,3127420,3622775,4273738,4856093,5518092
Colombia,16057714,18725242,21480064,24065502,26900508,29951194,33102569,36421438,39629965,42647731,45222699,47520667,50882884
Comoros,191122,207429,230055,257285,307831,355337,411598,475394,542358,611625,689696,777435,869595
"Cabo Verde",201770,230421,268633,270240,283848,311668,337953,386288,428178,463034,492644,524740,555988
"Costa Rica",1330787,1592834,1847394,2094186,2389973,2736719,3119436,3545524,3962369,4285504,4577371,4847805,5094114
"Caribbean small states",4194711,4580382,4893444,5189174,5482191,5808206,6009262,6281204,6513486,6742657,6973193,7222197,7442291
Cuba,7141241,7958171,8712535,9446441,9849457,10097910,10596986,10888246,11126423,11261586,11225833,11324777,11326616
Curacao,124826,135266,144739,149129,148041,152711,145400,145139,133860,137658,148703,157980,154947
"Cayman Islands",7870,8370,9143,12234,16207,19460,25307,32161,42305,49261,56672,61721,65720
Cyprus,572933,580972,613618,649753,685408,703694,766616,855391,943288,1027657,1112617,1160987,1207361
"Czech Republic",9602006,9779358,9858071,10058620,10304193,10337118,10333355,10327253,10255063,10211216,10474410,10546059,10697858
Germany,72814900,75963695,78169289,78673554,78288576,77684873,79433029,81678051,82211508,82469422,81776930,81686611,83160871
Djibouti,83634,114976,159662,224177,358960,425608,590393,630385,717577,783248,840194,913998,988002
Dominica,60020,65044,71084,72088,75318,73207,70422,71105,69650,70580,70877,71175,71991
Denmark,4579603,4759012,4928757,5059862,5123027,5113691,5140939,5233373,5339616,5419432,5547683,5683483,5831404
"Dominican Republic",3294222,3877768,4499722,5144632,5803929,6464229,7133491,7819239,8471317,9097262,9695117,10281675,10847904
Algeria,11057864,12550880,14464992,16607706,19221659,22431507,25758872,28757788,31042238,33149720,35977451,39728020,43851043
"East Asia & Pacific (excluding high income)",894875757,976360559,1117162921,1255568332,1360437112,1475340043,1605187660,1717901663,1816455800,1895275475,1965954326,2046830024,2113820753
"Early-demographic dividend",980003345,1103859981,1246947673,1408534717,1589897378,1803032659,2028993568,2249993925,2472852816,2689792006,2907916947,3122156833,3332103561
"East Asia & Pacific",1041673567,1135760430,1289442011,1442992143,1559219642,1684377898,1822134188,1942464423,2047640091,2131146847,2206884622,2291503725,2360916965
"Europe & Central Asia (excluding high income)",274647228,296127062,313941308,331431777,349436199,367739486,384394041,390571887,391578161,391928793,398060162,410073645,420185872
"Europe & Central Asia",666753356,706070460,737524825,766625562,793299463,817497806,841536999,855490982,861270071,871433207,887904313,906669764,923142688
Ecuador,4543658,5243980,6069375,6994331,7989178,9066100,10230931,11455205,12681123,13825839,15011114,16212022,17643060
"Egypt, Arab Rep.",26632891,30433024,34513851,38549133,43309063,49258726,56134478,62334025,68831561,75523576,82761244,92442549,102334403
"Euro area",265203956,277650954,287338854,295923529,302184216,305877743,311262608,317181461,321310789,329380417,336151482,339488382,342708355
Eritrea,1007586,1148188,1310947,1505438,1733423,2003942,2258649,2204227,2292413,2826653,3170437,,
Spain,30455000,31954292,33814531,35757900,37491165,38469512,38867322,39724050,40567864,43653155,46576897,46444832,47363419
Estonia,1211537,1294566,1360076,1429352,1477219,1528781,1569174,1436634,1396985,1354775,1331475,1315407,1329479
Ethiopia,22151284,25013634,28415080,32566855,35141703,40652146,47887864,57047906,66224809,76346310,87639962,100835453,114963583
"European Union",356906098,373032729,386322917,398316579,407875838,413924499,420477999,426203356,429328622,435581949,441532415,444543761,447479493
"Fragile and conflict affected situations",208280083,234243249,265037231,301154406,343334222,387802210,440953223,507247352,572303917,649704454,735448194,830536041,930004306
Finland,4429634,4563732,4606307,4711440,4779535,4902206,4986431,5107790,5176209,5246096,5363352,5479531,5529543
Fiji,393480,463960,520561,576626,635312,711770,728575,775428,811011,821606,859816,868632,896444
France,46621688,49818019,51957747,53931390,55161510,56654703,58235716,59541904,60912500,63179356,65027505,66548272,67379908
"Faroe Islands",34624,36843,39008,41292,43339,45328,47276,45625,46738,47731,47803,48055,48865
"Micronesia, Fed. Sts.",44510,52224,61415,63122,72936,85641,96304,107535,107405,106135,102916,108886,115021
Gabon,500922,533357,589317,647538,726335,827107,949493,1084951,1228359,1390550,1624146,1947690,2225728
"United Kingdom",52400000,54348050,55663250,56225800,56314216,56550268,57247586,58019030,58892514,60401206,62766365,65116219,67215293
Georgia,3645600,3921600,4119900,4311200,4467700,4662900,4802000,4657722,4077131,3902469,3786695,3725276,3722716
Ghana,6635229,7739463,8735493,9985946,11056112,12783617,14773274,17014058,19278850,21814648,24779614,27849203,31072945
Gibraltar,23420,26079,28601,30062,30068,29151,29149,28688,31081,33222,33585,33742,33691
Guinea,3494164,3801711,4154606,4491248,4871446,5470716,6352282,7269631,8240735,9109585,10192168,11432096,13132792
"Gambia, The",365049,405258,464404,539985,637252,755791,955595,1128577,1317708,1543745,1793199,2085860,2416664
Guinea-Bissau,616140,649795,704937,765985,781678,872163,975265,1088850,1201305,1344931,1522603,1737207,1967998
"Equatorial Guinea",255338,276296,303986,255808,249931,352116,419188,496768,606180,749527,943640,1168575,1402985
Greece,8331725,8550333,8792806,9046541,9642505,9934300,10196792,10562153,10805808,10987314,11121341,10820883,10700556
Grenada,89927,94634,94476,92494,89032,99953,96328,100286,102837,104658,106227,109603,112519
Greenland,32500,39200,46400,49600,50200,53200,55600,55800,56200,56935,56905,56114,56367
Guatemala,4128880,4774984,5455197,6131151,6890346,7884034,9050115,10286786,11589761,12948292,14259687,15567419,16858333
Guam,66733,74828,83875,93351,104134,116576,130480,145559,155323,158406,159439,161851,168783
Guyana,571813,651865,704930,745847,780153,770439,743306,761298,746718,746156,749430,767433,786559
"High income",759783611,808596600,850563450,894227661,932075328,966563677,1001677611,1040719622,1074819578,1111423301,1154194529,1187317397,1216834555
"Hong Kong SAR, China",3075605,3597900,3959000,4461600,5063100,5456200,5704500,6156100,6665000,6813200,7024200,7291300,7481800
Honduras,2038636,2346005,2716652,3153252,3678274,4281167,4955302,5709010,6574510,7458982,8317467,9112904,9904608
"Heavily indebted poor countries (HIPC)",161734348,182548798,207714326,237195030,270668519,307980326,354047283,411298637,471680803,543555314,624219296,718128408,823480038
Croatia,4140181,4280923,4412252,4512082,4599782,4701417,4777368,4620030,4468302,4310145,4295427,4203604,4047680
Haiti,3866162,4258734,4676237,5094570,5643175,6337275,7037915,7744509,8463802,9195289,9949318,10695540,11402533
Hungary,9983967,10147935,10337910,10540525,10711122,10648713,10373988,10328965,10210971,10087065,10000023,9843028,9750149
"IBRD only",1919643259,2111931236,2369907013,2641036429,2895270850,3175484847,3472795732,3740821342,3987186829,4210302243,4427039470,4657516187,4862308152
"IDA & IBRD total",2299245319,2541414856,2859058030,3195675150,3529315742,3902131693,4306159746,4693043793,5065355830,5425273244,5792386087,6184735051,6570914880
"IDA total",379602060,429483620,489151017,554638721,634044892,726646846,833364014,952222451,1078169001,1214971001,1365346617,1527218864,1708606728
"IDA blend",120391642,136134348,155145837,177892039,207074946,240860675,278496624,317616125,360173395,404615733,456049577,512877239,574159138
Indonesia,87751066,100267070,114793179,130680730,147447834,164982452,181413398,196934257,211513822,226289468,241834226,258383257,273523621
"IDA only",259210418,293349272,334005180,376746682,426969946,485786171,554867390,634606326,717995606,810355268,909297040,1014341625,1134447590
"Isle of Man",48444,50145,55431,59482,63546,64277,70292,72133,76942,80293,84856,83232,85032
India,450547675,499123328,555189797,623102900,698952837,784360012,873277799,963922586,1056575548,1147609924,1234281163,1310152392,1380004385
"Not classified",,,,,,,,,,,,,
Ireland,2828600,2877300,2957250,3189550,3412800,3538082,3513974,3608841,3805174,4159914,4560155,4701957,4985674
"Iran, Islamic Rep.",21906909,24954865,28513872,32729772,38650244,47347197,56366212,61442658,65623397,69762345,73762519,78492208,83992953
Iraq,7289753,8375795,9917978,11684579,13653348,15555807,17419113,20149342,23497589,26922279,29741977,35572269,40222503
Iceland,175574,192286,204438,217979,228138,241405,254826,267468,281205,296734,318041,330815,366463
Israel,2114020,2563000,2974000,3455000,3878000,4233000,4660000,5545000,6289000,6930100,7623600,8380100,9215100
Italy,50199700,52112350,53821850,55441001,56433883,56593071,56719240,56844303,56942108,57969484,59277417,60730582,59449527
Jamaica,1628524,1756508,1875637,2028019,2162839,2335510,2419901,2533705,2654698,2740000,2810464,2891024,2961161
Jordan,933102,1173603,1721315,2065916,2377997,2900055,3565888,4588842,5122495,5765639,7261541,9266573,10203140
Japan,93216000,97952000,103403000,111573000,116807000,120837000,123478000,125472000,126843000,127773000,128070000,127141000,125836021
Kazakhstan,9934564,11841926,13036140,14050227,14796175,15665594,16348000,15816243,14883626,15147029,16321872,17542806,18754440
Kenya,8120082,9530163,11301394,13575898,16417203,19877078,23724574,27768297,31964557,36624897,42030684,47878339,53771300
"Kyrgyz Republic",2172300,2573300,2959900,3292400,3617400,3990300,4391200,4560400,4898400,5162600,5447900,5956900,6579900
Cambodia,5722372,6467191,6996576,7524457,6693759,7714894,8975597,10656145,12155241,13273355,14312205,15521435,16718971
Kiribati,41196,46429,51142,55114,59296,63989,72394,77716,84405,92319,102930,110927,119446
"St. Kitts and Nevis",51199,49209,44878,44271,43201,41874,40260,42077,44083,46852,49011,51204,53192
"Korea, Rep.",25012374,28704674,32240827,35280725,38123775,40805744,42869283,45092991,47008111,48184561,49554112,51014947,51836239
Kuwait,269026,472032,744444,1021725,1368680,1735278,2095350,1605907,2045123,2270196,2991884,3835588,4270563
"Latin America & Caribbean (excluding high income)",197123485,226126959,257392749,290374325,325470475,362854776,400034081,436470219,471805920,504205968,534699518,564618410,595242966
"Lao PDR",2120892,2382586,2688429,3051583,3258149,3687889,4258471,4846477,5323701,5751675,6249168,6741160,7275556
Lebanon,1804935,2092374,2297436,2575746,2588928,2651992,2803032,3528379,3842774,4698761,4953064,6532681,6825442
Liberia,1118655,1245104,1400730,1600454,1852991,2145756,2075917,2044657,2848447,3218114,3891357,4472229,5057677
Libya,1448416,1733307,2133527,2645136,3219462,3873781,4436663,4948796,5357893,5798615,6197667,6418315,6871287
"St. Lucia",89698,96138,104016,109634,117828,126246,138019,146871,156737,163408,174092,179131,183629
